docno,title,producer,genre,description,num_episodes,rating,num_reviews,link
ug7v899j,"The Joy Filled Podcast - Christian Motherhood, Stay at Home Mom Mindset, and Faith Based Encouragement",Jenna Griffith,Kids & Family,"In a culture trying to sell us the lie that we should be anything but “just a mom”, Joy Filled exists to come alongside you and help you thrive in this season at home and experience the fullness of joy in the simplicity of homemaking and raising a family. The early years of motherhood are hard, but they’re so so good. I’m determined to give these ‘good old days’ everything I’ve got and I’m bringing you along with me.We’ll host honest conversations on faith, motherhood, homemaking, and everything in between. My prayer is that you leave encouraged in Christ, equipped to carry the weight of motherhood with joy, and reminded of the truth that God has given you everything you need to steward your arrows well.There is so much joy here. Let’s experience it together.",52,5.0,266,https://podcasts.apple.com/us/podcast/the-joy-filled-podcast-christian-motherhood-stay-at/id1534070267
02tnwd4m,Vortex Nation Podcast,Vortex Optics,Sports,"Welcome to the Vortex Nation Podcast. Brought to you by lovers of hunting, shooting, public lands, the Second Amendment and dang good food.",496,4.9,1300,https://podcasts.apple.com/us/podcast/vortex-nation-podcast/id1404310722
ejv2xln0,Greg Laurie Podcast,Greg Laurie,Religion & Spirituality,"Greg Laurie delivers compelling, practical insights on faith, culture, and current events—with an emphasis on the saving power of the gospel message. He is the founding pastor of Harvest Christian Fellowship, main speaker of the Harvest Crusades, and host of the daily program, A New Beginning. For over 40 years, Pastor Greg and Harvest Ministries have been committed to knowing God and making Him known. Learn more at https://harvest.org/.",540,4.8,2500,https://podcasts.apple.com/us/podcast/greg-laurie-podcast/id80693391
2b73a28n,The Amelia Project,Fable and Folly Network,Fiction,"The Amelia Project is a secret agency that fakes its clients' deaths, then lets them reappear with a brand new identity! A black comedy full of secrets, twists... and cocoa. The series starts as a succession of interviews with clients who want to fake their deaths, then slowly a larger narrative begins to emerge... Each episode tells its own story, but we recommend starting with Season 1.",107,4.8,861,https://podcasts.apple.com/us/podcast/the-amelia-project/id1314667752
9785vg6d,A More Civilized Age: A Star Wars Podcast,A More Civilized Age,TV & Film,"Join Rob Zacny, Natalie Watson, Ali Acampora, and Austin Walker as they dive headfirst into the fall of the Galactic Republic, debate which Jedi is messiest, and dig into the themes and politics of The Clone Wars. Cover Art by @XeeceeVEVO on Twitter.",53,5.0,940,https://podcasts.apple.com/us/podcast/a-more-civilized-age-a-star-wars-podcast/id1545719793
zjufx4fo,Joe Lonsdale: American Optimist,Joe Lonsdale,Technology,"Welcome to American Optimist hosted by Joe Lonsdale, entrepreneur, investor, and founder of four multi-billion dollar companies and other mission-driven organizations. American Optimist is an alternative to the fear, cynicism, and zero-sum thinking in mainstream media. Learn from the innovators and leaders who are solving our nation’s most pressing challenges -- and doing it in a way that will lift everyone up. Hope should dominate our discourse, and American Optimist will show you why.",39,4.5,96,https://podcasts.apple.com/us/podcast/joe-lonsdale-american-optimist/id1573141757
5yhe786e,Understand: The Economy,BBC Radio 4,Business,"From inflation to GDP, from the stock exchange to bonds, Tim Harford goes back to basics to explain the terms we hear every day, and what they mean for you.",8,5.0,2,https://podcasts.apple.com/us/podcast/understand-the-economy/id1652327390
8zchiykl,Tuned In,High Performance Academy,Leisure,"High Performance Academy Presents: Tuned In. A podcast interviewing influential people from around the world at the top of their respected fields. Covering topics such as Tuning, Performance Engine Building, Automotive/Motorsport Wiring, Data Analysis, Driver coaching/Training, Motorsport Fabrication and Car Setup.",115,4.9,49,https://podcasts.apple.com/us/podcast/tuned-in/id1579263731
8qnrcgnk,Soaring Child: Thriving with ADHD,Dana Kay,Kids & Family,"Here is a place where you will learn how to address your child's ADHD symptoms naturally so you can stop walking on eggshells & bring back peace & calm to your home.Host Dana Kay, is a Board Certified Holistic Health and Nutrition Practitioner, on a mission to assist families who have children with ADHD. Within each episode, you will receive insight on how to support your child with ADHD through nutrition and functional lab testing, discover HIDDEN stresses and dysfunctions that may be holding your child back, as well as implement a holistic and all-natural family approach to health and wellness. Together, we can find balance, peace & happiness the natural way. Because every child deserves to soar!",32,5.0,78,https://podcasts.apple.com/us/podcast/soaring-child-thriving-with-adhd/id1619834565
jg13scgo,Mindset & Motivation,Dr. Stephen Cabral,Health & Fitness,"The Mindset and Motivation Podcast provides a weekly dose of inspiration to keep you on track to reaching your highest goals and maintaining a growth mindset. This show will allow you to discover your passion and purpose for living life to the fullest with a weekly dose of Monday Motivation. After seeing over 250,000 client appointments in his private practice, Dr. Cabral has come online to share what he has seen to work in the real world - It’s now time to shift your mindset and gain the motivation you need to achieve your greatest good and potential!",100,4.4,45,https://podcasts.apple.com/us/podcast/mindset-motivation/id1558510104
5tkvsudh,Castle Super Beast,Super Best Friends Play,Leisure,"Every week, the creators of Super Best Friends Play discuss the best and worst of the videogame industry, pop culture and get excessively hyped about things for no reason.",467,4.9,2900,https://podcasts.apple.com/us/podcast/castle-super-beast/id688649759
6lvn10f4,The Vergecast,The Verge,Technology,"The Vergecast is the flagship podcast from The Verge about small gadgets, Big Tech, and everything in between. Every Friday, hosts Nilay Patel, David Pierce, and Alex Cranz hang out and make sense of the week’s most important technology news. And every Wednesday, David leads a selection of The Verge’s expert staffers in an exploration of how gadgets and software affect our lives – and which ones you should bring into yours.",598,4.4,3200,https://podcasts.apple.com/us/podcast/the-vergecast/id430333725
tvxpckxo,WELL FOR CULTURE,Well For Culture,Health & Fitness,"Well For Culture is an Indigenous wellness initiative that focuses on healing intergenerational trauma and reimagining Indigenous futures through a holistic, ancestral-based approach to healing, health and wellness. WFC is based on the teaching that Indigenous cultural values, modalities of movements and original foods of our people are inherently based in wellness and are powerful tools for spiritual, mental, physical and emotional healing.",16,5.0,221,https://podcasts.apple.com/us/podcast/well-for-culture/id1468485215
mcuixluu,Don't Call Me White Girl,Breakbeat Media,Society & Culture,"The Don't Call Me White Girl show features rising comedian and viral social media sensation Don't Call Me White Girl.  The Philadelphia native doesn't hold her tongue as she delivers her unique brand of insight, advice, and commentary in this highly entertaining weekly audio-visual podcast.",63,4.9,2300,https://podcasts.apple.com/us/podcast/dont-call-me-white-girl/id1586851259
6iu1dtyl,Leading Saints Podcast,Leading Saints,Religion & Spirituality,"Leading Saints is a nonprofit organization with a mission to help Latter-day Saints (LDS, Mormon) be better prepared to lead.Here are 4 ways Leading Saints accomplishes the above mission statement:1. Connect Latter-day Saint Leaders2. Enhance Leadership Ability3. Present Leadership Scholarship & Research4. Celebrate Divine GuidancePodcast Host:Kurt Francom is the founder and executive director of Leading Saints, a nonprofit organization helping Latter-day Saints be better prepared to lead. He manages the day-to-day efforts of Leading Saints and is the host of the podcast by the same name. Leading Saints has reached individuals internationally and has received over 2 million downloads. Kurt currently lives in Utah with his lovely wife Alanna. They are blessed to have three children. He enjoys drawing caricatures, playing basketball, reading, and watching college football. Kurt has served as a full-time missionary (California Sacramento), as a bishop, 1st counselor in a stake presidency, and elders quorum president.",300,4.8,943,https://podcasts.apple.com/us/podcast/leading-saints-podcast/id869421445
t35n7bk9,The Paul Finebaum Show,ESPN,Sports,Paul Finebaum provides his unique takes on the SEC and the world of college football.,200,4.0,777,https://podcasts.apple.com/us/podcast/the-paul-finebaum-show/id687989405
eiqypt0m,Classified,QCODE,Fiction,"A new quick-witted mystery from the makers of Blackout and The Left Right Game, Classified follows Ivan Harris (WYATT RUSSELL), a slightly paranoid smooth talker who finds himself trapped in the mysterious Ravenholm Institute. Ivan claims to be sane, but his cries are ignored by the imposing Doctor Bell (MONICA POTTER), who insists that Ivan be treated until he’s free of his delusions. While enduring painful procedures and under the heavy watch of the attendants, Ivan formulates a plan of escape with the other patients. Ivan yearns to get back to his partner, Odessa, but does she even exist? Is Ivan really a trained killer? He is planning his escape with the help of his imaginary friend Lark (BRENT JENNINGS), so what is actually going on? And What does Ravenholm have to do with it all? Tune in to find out what happens to Ivan and his fellow band of misfits. Produced by QCODE. Created by Spenser Cohen and Anna Halberg. Starring Wyatt Russell, Brent Jennings & Monica Potter.",13,4.6,581,https://podcasts.apple.com/us/podcast/classified/id1608626153
sgmk96vr,Search and Seizure,Bruce-Alan Barnard,Government,SEARCH AND SEIZURE is a podcast for law enforcement officers providing case law updates and commentary on the latest developments in search and seizure law.  This podcast is sponsored by LEA ONE.,5,4.9,8,https://podcasts.apple.com/us/podcast/search-and-seizure/id1511599692
di0fcy0j,Nontendo Podcast,Wood Hawker & Bob Wulff,Leisure,"Nontendo Podcast is a weekly Nintendo podcast, hosted by Wood from Beatemups and Bob from Wulff Den.",27,4.7,290,https://podcasts.apple.com/us/podcast/nontendo-podcast/id1624139141
4k8f7ou1,1865,Wondery,Fiction,"April 15, 1865. President Lincoln is dead and the country in turmoil.Secretary of War Edwin Stanton takes control, determined to bring the assassin to justice—but the hunt for John Wilkes Booth isn’t all that grips Stanton.Lincoln’s successor, Vice President Andrew Johnson, is likely to bend to southern interests and undo the very progress for which Lincoln died. Edwin Stanton must employ every bit of political wile he can muster to secure the future of the freed slaves, and the nation.Consumed by his conviction, Stanton will betray his friends, his honor, and the very constitution he is sworn to protect, all to steer the country towards justice.***All episodes are available for free, with ad-free episodes available for Wondery+ subscribers.***1865 is an Airship production. Support this show to get early, ad-free access to episodes and more.",62,4.8,2700,https://podcasts.apple.com/us/podcast/1865/id1467256065
wnnsmx60,Toddlers Made Easy with Dr Cathryn,Dr. Cathryn,Kids & Family,"Toddlers Made Easy is a short, 10 minute, bite-sized podcast that gives you the insight, tools, and confidence you need to not only handle anything toddler-related thrown your way —but prevent problem behaviors before they start. Toddlers Made Easy is hosted by Dr. Cathryn, a nationally recognized pediatrician with more than 30 years of experience and a mother of 4.",14,4.9,32,https://podcasts.apple.com/us/podcast/toddlers-made-easy-with-dr-cathryn/id1641168814
gdsfkw1b,Got It From My Momma,Jennifer Vickery Smith,Music,"A podcast with the mommas of your favorite entertainers! Join host Jennifer Vickery Smith for the Got it From My Momma podcast!  We'll chat about family, fame, and faith with the mommas of your favorite entertainers. Listen as our guests share never before heard stories from the artist’s childhood and the journey to stardom from the perspective only a momma can share!",1,5.0,2,https://podcasts.apple.com/us/podcast/got-it-from-my-momma/id1654239133
yba7mdtb,Slow Radio,BBC Radio 3,Science,"An antidote to today’s frenzied world. Step back, let go, immerse yourself: it’s time to go slow.A lo-fi celebration of pure sound.",105,3.9,152,https://podcasts.apple.com/us/podcast/slow-radio/id1297180610
