docno,title,description,genre,rating,num_reviews
ug7v899j,"The Joy Filled Podcast - Christian Motherhood, Stay at Home Mom Mindset, and Faith Based Encouragement","In a culture trying to sell us the lie that we should be anything but “just a mom”, Joy Filled exists to come alongside you and help you thrive in this season at home and experience the fullness of joy in the simplicity of homemaking and raising a family. The early years of motherhood are hard, but they’re so so good. I’m determined to give these ‘good old days’ everything I’ve got and I’m bringing you along with me.We’ll host honest conversations on faith, motherhood, homemaking, and everything in between. My prayer is that you leave encouraged in Christ, equipped to carry the weight of motherhood with joy, and reminded of the truth that God has given you everything you need to steward your arrows well.There is so much joy here. Let’s experience it together.",Kids & Family,5.0,266
02tnwd4m,Vortex Nation Podcast,"Welcome to the Vortex Nation Podcast. Brought to you by lovers of hunting, shooting, public lands, the Second Amendment and dang good food.",Sports,4.9,1300
ejv2xln0,Greg Laurie Podcast,"Greg Laurie delivers compelling, practical insights on faith, culture, and current events—with an emphasis on the saving power of the gospel message. He is the founding pastor of Harvest Christian Fellowship, main speaker of the Harvest Crusades, and host of the daily program, A New Beginning. For over 40 years, Pastor Greg and Harvest Ministries have been committed to knowing God and making Him known. Learn more at https://harvest.org/.",Religion & Spirituality,4.8,2500
2b73a28n,The Amelia Project,"The Amelia Project is a secret agency that fakes its clients' deaths, then lets them reappear with a brand new identity! A black comedy full of secrets, twists... and cocoa. The series starts as a succession of interviews with clients who want to fake their deaths, then slowly a larger narrative begins to emerge... Each episode tells its own story, but we recommend starting with Season 1.",Fiction,4.8,861
9785vg6d,A More Civilized Age: A Star Wars Podcast,"Join Rob Zacny, Natalie Watson, Ali Acampora, and Austin Walker as they dive headfirst into the fall of the Galactic Republic, debate which Jedi is messiest, and dig into the themes and politics of The Clone Wars. Cover Art by @XeeceeVEVO on Twitter.",TV & Film,5.0,940
zjufx4fo,Joe Lonsdale: American Optimist,"Welcome to American Optimist hosted by Joe Lonsdale, entrepreneur, investor, and founder of four multi-billion dollar companies and other mission-driven organizations. American Optimist is an alternative to the fear, cynicism, and zero-sum thinking in mainstream media. Learn from the innovators and leaders who are solving our nation’s most pressing challenges -- and doing it in a way that will lift everyone up. Hope should dominate our discourse, and American Optimist will show you why.",Technology,4.5,96
5yhe786e,Understand: The Economy,"From inflation to GDP, from the stock exchange to bonds, Tim Harford goes back to basics to explain the terms we hear every day, and what they mean for you.",Business,5.0,2
8zchiykl,Tuned In,"High Performance Academy Presents: Tuned In. A podcast interviewing influential people from around the world at the top of their respected fields. Covering topics such as Tuning, Performance Engine Building, Automotive/Motorsport Wiring, Data Analysis, Driver coaching/Training, Motorsport Fabrication and Car Setup.",Leisure,4.9,49
8qnrcgnk,Soaring Child: Thriving with ADHD,"Here is a place where you will learn how to address your child's ADHD symptoms naturally so you can stop walking on eggshells & bring back peace & calm to your home.Host Dana Kay, is a Board Certified Holistic Health and Nutrition Practitioner, on a mission to assist families who have children with ADHD. Within each episode, you will receive insight on how to support your child with ADHD through nutrition and functional lab testing, discover HIDDEN stresses and dysfunctions that may be holding your child back, as well as implement a holistic and all-natural family approach to health and wellness. Together, we can find balance, peace & happiness the natural way. Because every child deserves to soar!",Kids & Family,5.0,78
jg13scgo,Mindset & Motivation,"The Mindset and Motivation Podcast provides a weekly dose of inspiration to keep you on track to reaching your highest goals and maintaining a growth mindset. This show will allow you to discover your passion and purpose for living life to the fullest with a weekly dose of Monday Motivation. After seeing over 250,000 client appointments in his private practice, Dr. Cabral has come online to share what he has seen to work in the real world - It’s now time to shift your mindset and gain the motivation you need to achieve your greatest good and potential!",Health & Fitness,4.4,45
